book_id,goodreads_book_id,best_book_id,work_id,books_count,isbn,isbn13,authors,original_publication_year,original_title,title,language_code,average_rating,ratings_count,work_ratings_count,work_text_reviews_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,image_url,small_image_url
3628,24812,24812,25599,14,740748475,9780740748480,"Bill Watterson",2005,"The Complete Calvin and Hobbes","The Complete Calvin and Hobbes",eng,4.82,28900,29968,861,120,154,693,3117,25884,https://images.gr-assets.com/books/1473064526m/24812.jpg,https://images.gr-assets.com/books/1473064526s/24812.jpg
3275,8,8,21457576,11,439682584,9780439682590,"J.K. Rowling, Mary GrandPré",2003,,"Harry Potter Boxed Set, Books 1-5 (Harry Potter, #1-5)",eng,4.77,33220,33424,156,317,233,978,3686,28210,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
862,17332218,17332218,16482835,34,765326361,9780765326360,"Brandon Sanderson",2014,"Words of Radiance","Words of Radiance (The Stormlight Archive, #2)",eng,4.77,73572,108176,7261,154,404,2653,18272,86693,https://images.gr-assets.com/books/1391535251m/17332218.jpg,https://images.gr-assets.com/books/1391535251s/17332218.jpg
7947,5031805,5031805,40769318,96,1433502410,9781433502420,"Anonymous, Lane T. Dennis, Wayne A. Grudem",2002,,"ESV Study Bible",eng,4.76,8953,10784,262,98,90,367,1152,9077,https://images.gr-assets.com/books/1410151002m/5031805.jpg,https://images.gr-assets.com/books/1410151002s/5031805.jpg
8854,95602,95602,920037,6,842339523,9780842339520,"Francine Rivers",1993,"Mark of the Lion Trilogy","Mark of the Lion Trilogy",en-US,4.76,9081,9547,731,27,61,323,1363,7773,https://images.gr-assets.com/books/1349032180m/95602.jpg,https://images.gr-assets.com/books/1349032180s/95602.jpg
4483,24814,24814,25601,21,836221362,9780836221370,"Bill Watterson",1996,"It's a Magical World: A Calvin and Hobbes Collection","It's a Magical World: A Calvin and Hobbes Collection",eng,4.75,22351,23429,264,36,57,850,3737,18749,https://images.gr-assets.com/books/1437420710m/24814.jpg,https://images.gr-assets.com/books/1437420710s/24814.jpg
6361,70489,70489,170846,22,836213122,9780836213130,"Bill Watterson",1996,"There's Treasure Everywhere: A Calvin and Hobbes Collection","There's Treasure Everywhere: A Calvin and Hobbes Collection",eng,4.74,16766,17285,149,22,69,680,2822,13692,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
422,862041,862041,2962492,76,545044251,9780545044260,"J.K. Rowling",1998,"Complete Harry Potter Boxed Set","Harry Potter Boxset (Harry Potter, #1-7)",eng,4.74,190050,204125,6508,1105,1285,7020,30666,164049,https://images.gr-assets.com/books/1392579059m/862041.jpg,https://images.gr-assets.com/books/1392579059s/862041.jpg
3753,10,10,21457570,6,439827604,9780439827610,"J.K. Rowling",2005,"Harry Potter Collection (Harry Potter, #1-6)","Harry Potter Collection (Harry Potter, #1-6)",eng,4.73,24618,26274,882,203,186,946,3891,21048,https://images.gr-assets.com/books/1328867351m/10.jpg,https://images.gr-assets.com/books/1328867351s/10.jpg
6590,59715,59715,1010526,21,751507954,9780751507960,"Bill Watterson",1990,"The Authoritative Calvin and Hobbes","The Authoritative Calvin and Hobbes: A Calvin and Hobbes Treasury",eng,4.73,16087,18198,425,20,61,701,3295,14121,https://images.gr-assets.com/books/1391114055m/59715.jpg,https://images.gr-assets.com/books/1391114055s/59715.jpg
6920,24815,24815,25602,19,751500283,9780751500290,"Bill Watterson",1992,"The Indispensable Calvin and Hobbes: A Calvin and Hobbes Treasury","The Indispensable Calvin and Hobbes",eng,4.73,14597,16911,325,19,62,666,2969,13195,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1308,17927395,17927395,25126749,39,,0,"Sarah J. Maas",2016,"A Court of Mist and Fury","A Court of Mist and Fury (A Court of Thorns and Roses, #2)",eng,4.72,108384,126491,22700,931,1420,4725,18000,101415,https://images.gr-assets.com/books/1485259138m/17927395.jpg,https://images.gr-assets.com/books/1485259138s/17927395.jpg
9566,70487,70487,2244439,24,1417642165,9781417642170,"Bill Watterson",1992,"Attack of the Deranged Mutant Killer Monster Snow Goons: A Calvin and Hobbes Collection","Attack of the Deranged Mutant Killer Monster Snow Goons",eng,4.72,9713,12197,233,15,30,514,2292,9346,https://images.gr-assets.com/books/1384735429m/70487.jpg,https://images.gr-assets.com/books/1384735429s/70487.jpg
7254,24816,24816,2369970,23,836217691,9780836217700,"Bill Watterson",1994,"Homicidal Psycho Jungle Cat: A Calvin and Hobbes Collection","Homicidal Psycho Jungle Cat: A Calvin and Hobbes Collection",eng,4.71,14113,15729,289,13,53,696,2900,12067,https://images.gr-assets.com/books/1448818381m/24816.jpg,https://images.gr-assets.com/books/1448818381s/24816.jpg
8978,121792,121792,1429035,20,1417642122,9781417642120,"Bill Watterson",1991,"The Revenge of the Baby-Sat: A Calvin and Hobbes Collection","The Revenge of the Baby-Sat",,4.71,11503,12946,206,12,40,570,2428,9896,https://images.gr-assets.com/books/1384734025m/121792.jpg,https://images.gr-assets.com/books/1384734025s/121792.jpg
9076,2350129,2350129,2356840,5,402366174,9780402366170,"The Church of Jesus Christ of Latter-day Saints",2004,"Preach My Gospel (A Guide to Missionary Service)","Preach My Gospel: A Guide To Missionary Service",,4.71,9891,10194,206,105,83,463,1365,8178,https://images.gr-assets.com/books/1399612262m/2350129.jpg,https://images.gr-assets.com/books/1399612262s/2350129.jpg
5207,24818,24818,946589,28,836217357,9780836217350,"Bill Watterson",1993,"The Days Are Just Packed: A Calvin and Hobbes Collection","The Days Are Just Packed: A Calvin and Hobbes Collection",en-US,4.68,19143,20374,228,114,149,942,3636,15533,https://images.gr-assets.com/books/1418211162m/24818.jpg,https://images.gr-assets.com/books/1418211162s/24818.jpg
